Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
85453,2.0,1,0,1
79888,2.0,1,1,0
22858,2.0,1,0,1
8558,2.0,1,0,1
158,2.0,1,0,1
56894,2.0,1,1,0
1315,2.0,1,0,1
51205,2.0,1,1,0
51042,2.0,1,0,1
56257,2.0,1,0,1
3326,2.0,1,0,1
51531,1.0,1,0,0
79990,1.0,1,0,0
728233,1.0,1,0,0
51,1.0,1,0,0
29979,1.0,1,0,0
27077,1.0,1,0,0
6665,1.0,1,0,0
1992,1.0,1,0,0
57593,1.0,1,0,0
92140,1.0,1,0,0
22893,1.0,1,0,0
5936,1.0,1,0,0
984,1.0,1,0,0
58509,1.0,1,0,0
1144,1.0,1,0,0
51538,1.0,1,0,0
2321,1.0,1,0,0
51514,1.0,1,0,0
51228,1.0,1,0,0
51249,1.0,1,0,0
252839,1.0,1,0,0
173,1.0,1,0,0
6666,1.0,1,0,0
84168,1.0,1,0,0
